,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service
56,BLYT41-MEDB4A,,23,228,26.756999999999998,0.02547370781477744,0.3073588219905072,1.0,0.0,3.0195419071101517,1.0,1,,True
57,BLYT41-MEDB4B,,23,229,27.125999999999998,0.025304136253041364,0.306362899063629,1.0,0.0,3.0195419071101517,1.0,1,,True
58,BODE41-PENM4A,,24,276,27.125999999999998,0.1,0.0055444960554449614,1.0,0.0,1.524204710281224,1.0,1,,True
59,BODE41-PENM4B,,24,277,27.125999999999998,0.1,0.00513160805131608,1.0,0.0,3.8898974376968734,1.0,1,,True
60,BOLN41-LOVE41,,25,218,64.774,0.0173649921264705,0.2782844968660265,1.0,0.0,4.236307599124424,1.0,1,,True
61,BOLN41-LOVE41,,25,218,64.774,0.0173649921264705,0.2782844968660265,1.0,0.0,3.999593988815598,1.0,1,,True
62,BOLN41-NINF41,,25,256,51.404,0.017368298186911522,0.278297408761964,1.0,0.0,4.236307599124424,1.0,1,,True
63,BOLN41-NINF41,,25,256,51.404,0.017368298186911522,0.278297408761964,1.0,0.0,4.236307599124424,1.0,1,,True
64,BOTW41-CHIL41,,26,62,7.479,0.014119534697152027,0.274903061906672,1.0,0.0,4.5610671254627535,1.0,1,,True
65,BOTW41-LOVE41,,26,218,14.672,0.014176663031624863,0.27480916030534347,1.0,0.0,4.5610671254627535,1.0,1,,True
66,BRAI4A-BRFO41,,27,32,48.267,0.014950172996042841,0.2756666045123997,1.0,0.0,3.7065887272747946,1.0,1,,True
67,BRAI4A-BULL41,,27,43,12.343,0.017370169326743904,0.27831159361581465,1.0,0.0,3.708032102947409,1.0,1,,True
68,BRAI4B-PELH41,,28,274,65.942,0.015771435503927695,0.2765581874981044,1.0,0.0,3.7065887272747946,1.0,1,,True
69,BRAI4B-RAYL41,,28,299,33.03,0.017341810475325462,0.27829246139872843,1.0,0.0,3.7065887272747946,1.0,1,,True
70,BRAW21-ELLA21,,29,102,16.883,0.034446262512586624,0.3195573950127348,1.0,0.0,1.599785109138144,1.0,1,,True
71,BRAW21-KIRK21,,29,192,21.826,0.02924379180793549,0.2962493127462659,1.0,0.0,1.599785109138144,1.0,1,,True
72,BRAW21-MONF21,,29,242,51.155,0.01735583031961685,0.278284625158831,1.0,0.0,2.340892909040723,1.0,1,,True
73,BRAW4A-PADI41,,30,271,59.3,0.020344013490725125,0.30545699831365936,1.0,0.0,3.391932830644769,1.0,1,,True
74,BRED21-MACC21,,31,219,19.612,0.029614521721395067,0.3133817943096064,1.0,0.0,1.8517197719945448,1.0,1,,True
75,BRED21-SMAN21,,31,342,15.633,0.02481649395509499,0.22271956758139833,1.0,0.0,1.816029028089888,1.0,1,,True
76,BRED21-STAL21,,31,349,15.054,0.0334068187857048,0.31864579181612857,1.0,0.0,2.1645386450412425,1.0,1,,True
77,BRFO41-LEIS4A,,32,210,42.357,0.017376112566990107,0.27828222017612203,1.0,0.0,3.708032102947409,1.0,1,,True
78,BRFO41-NORM41,,32,259,61.676,0.025501005253258966,0.32219988326091187,1.0,0.0,2.165063508922193,1.0,1,,True
79,BRFO41-NORM41,,32,259,61.676,0.025501005253258966,0.32219988326091187,1.0,0.0,2.165063508922193,1.0,1,,True
80,BRFO41-PELH41,,32,274,69.301,0.015122436905672358,0.275874807001342,1.0,0.0,4.236307599124424,1.0,1,,True
81,BRFO41-SIZE41,,32,338,43.167,0.017346584196261033,0.27828665415711074,1.0,0.0,3.7065887272747946,1.0,1,,True
82,BRFO41-SIZE41,,32,338,43.167,0.017346584196261033,0.27828665415711074,1.0,0.0,3.7065887272747946,1.0,1,,True
83,BRFO41-SIZE41,,32,338,43.167,0.017346584196261033,0.27828665415711074,1.0,0.0,3.7065887272747946,1.0,1,,True
84,BRIM2A-TOTT23,,33,391,7.748,0.0336740126484254,0.3156572663913268,1.0,0.0,2.1645386450412425,1.0,1,,True
85,BRIM2A-WALX22,,33,410,5.865,0.03455669224211424,0.320036231884058,1.0,0.0,2.1645386450412425,1.0,1,,True
86,BRIM2B-TOTT22,,34,390,7.6979999999999995,0.033499772668225514,0.3144656079501169,1.0,0.0,2.1645386450412425,1.0,1,,True
87,BRIM2B-WALX22,,34,410,5.997,0.03455269301317325,0.3200537768884443,1.0,0.0,2.1645386450412425,1.0,1,,True
88,BRIM2C-TOTT24,,35,392,7.69,0.0338296488946684,0.31695627438231466,1.0,0.0,2.1645386450412425,1.0,1,,True
89,BRIM2C-WALX21,,35,409,5.97,0.03458228643216081,0.32023450586264657,1.0,0.0,2.1645386450412425,1.0,1,,True
90,BRIM2D-TOTT21,,36,389,7.839,0.03347604924097461,0.31488710294680444,1.0,0.0,2.1645386450412425,1.0,1,,True
91,BRIM2D-WALX21,,36,409,5.97,0.03458228643216081,0.32023450586264657,1.0,0.0,2.1645386450412425,1.0,1,,True
92,BRIN21-CHTE21,,37,64,22.683999999999997,0.017302669282313526,0.2768760469934757,1.0,0.0,1.9608914592323183,1.0,1,,True
93,BRIN21-JORD21,,37,177,14.746,0.03318145598806455,0.3035051878475518,1.0,0.0,1.1693967267584597,1.0,1,,True
94,BRIN21-NORL2A,,37,257,16.102,0.03325208048689604,0.28578942056887346,1.0,0.0,0.8796718644735989,1.0,1,,True
95,BRIN21-TEMP21,,37,371,2.757,0.034562023939064206,0.3209330794341676,1.0,0.0,1.8517197719945448,1.0,1,,True
96,BRIN21-TEMP22,,37,372,2.757,0.034562023939064206,0.3209330794341676,1.0,0.0,1.8517197719945448,1.0,1,,True
97,BRIN22-CHTE21,,38,64,22.375,0.017338826815642458,0.27836759776536313,1.0,0.0,2.340892909040723,1.0,1,,True
98,BRIN22-THUR21,,38,380,5.704,0.07941685659186537,0.3160764375876578,1.0,0.0,1.2407782145677733,1.0,1,,True
99,BRIN22-TINP21,,38,386,3.17,0.034591876971608836,0.320153785488959,1.0,0.0,1.8517197719945448,1.0,1,,True
100,BRIN22-TINP22,,38,387,3.17,0.034591876971608836,0.320153785488959,1.0,0.0,1.8244268501851013,1.0,1,,True
101,BRIN41-THOM41,,39,375,36.299,0.01736686961073308,0.2783988539629191,1.0,0.0,3.4568847359124346,1.0,1,,True
102,BRIN41-THOM42,,39,376,36.299,0.01736686961073308,0.2783988539629191,1.0,0.0,3.4944125034004196,1.0,1,,True
103,BRLE41-DIDC41,,40,87,43.391000000000005,0.015450208568597175,0.24794081722016081,1.0,0.0,3.7065887272747946,1.0,1,,True
104,BRLE41-DIDC41,,40,87,43.391000000000005,0.015450208568597175,0.24775644718950937,1.0,0.0,3.286566406543889,1.0,1,,True
105,BRLE41-FLEE41,,40,123,17.555,0.01731700370264882,0.2782569068641413,1.0,0.0,3.708032102947409,1.0,1,,True
106,BRLE41-FLEE41,,40,123,17.555,0.01731700370264882,0.2782569068641413,1.0,0.0,3.708032102947409,1.0,1,,True
107,BRLE41-MELK41,,40,233,81.569,0.034522919246282285,0.32023930659932076,1.0,0.0,1.8532943636373973,1.0,1,,True
108,BRLE41-MELK41,,40,233,81.569,0.034522919246282285,0.32023930659932076,1.0,0.0,1.8532943636373973,1.0,1,,True
109,BRLE41-WWEY4A,,40,457,49.375,0.02556759493670886,0.3076860759493671,1.0,0.0,3.0195419071101517,1.0,1,,True
110,BRLE41-WWEY4B,,40,458,49.375,0.02556759493670886,0.3076860759493671,1.0,0.0,3.0195419071101517,1.0,1,,True
111,BRWA2A-HINP22,,41,161,18.477,0.03384850083888077,0.31646506467500135,1.0,0.0,1.610282386757161,1.0,1,,True
112,BRWA2B-HINP21,,42,160,18.547,0.03376152477489621,0.31608615948670943,1.0,0.0,1.599785109138144,1.0,1,,True
113,BULL41-RAYL41,,43,299,20.646,0.017359294778649618,0.27829119442022665,1.0,0.0,3.708032102947409,1.0,1,,True
114,BURW41-PELH41,,44,274,42.934,0.014198537289793638,0.2748031862859273,1.0,0.0,4.200223207309055,1.0,1,,True
115,BURW41-PELH41,,44,274,42.782,0.014174185405076903,0.27480716189051474,1.0,0.0,4.5610671254627535,1.0,1,,True
116,BURW41-WALP41,,44,408,51.189,0.014190548750708161,0.27480904100490344,1.0,0.0,4.5610671254627535,1.0,1,,True
117,BURW41-WALP41,,44,408,51.183,0.01419221225797628,0.27480999550632046,1.0,0.0,4.5610671254627535,1.0,1,,True
118,BUSH21-DRAK21,,45,89,38.153,0.028939401881896577,0.3174612743427778,1.0,0.0,2.340892909040723,1.0,1,,True
119,BUSH21-PENN21,,45,278,21.653,0.02877892208931788,0.31705710525100456,1.0,0.0,2.1792348337078655,1.0,1,,True
120,BUSH21-WIEN2B,,45,433,9.515,0.02471820809248555,0.2705491329479769,1.0,0.0,1.599785109138144,1.0,1,,True
121,BUST21-NECH21,,46,246,10.296,0.01909722222222222,0.2327657585470086,1.0,0.0,1.4969117884717806,1.0,1,,True
122,BUST21-NECH21,,46,246,10.267,0.019151163923249243,0.23298127495860527,1.0,0.0,1.4969117884717806,1.0,1,,True
123,CANT41-CANT41,,49,49,10.267,0.1,0.001870069153598909,1.0,0.0,4.477351336451095,1.0,1,,True
124,CANT41-CANT41,,49,49,10.267,0.1,0.001870069153598909,1.0,0.0,4.477351336451095,1.0,1,,True
125,CANT41-CANT41,,49,49,10.267,0.1,0.001870069153598909,1.0,0.0,4.477351336451095,1.0,1,,True
126,CANT41-CLEH41,,49,71,14.7,0.024925170068027212,0.30693877551020404,1.0,0.0,4.399409050129896,1.0,1,,True
127,CANT41-KEMS4A,,49,186,28.2,0.02490780141843972,0.3070070921985816,1.0,0.0,4.236307599124424,1.0,1,,True
128,CANT41-RICH41,,49,303,25.0,0.025536,0.307712,1.0,0.0,2.9415996207889528,1.0,1,,True
129,CANT41-RICH41,,49,303,25.0,0.025536,0.307712,1.0,0.0,2.9415996207889528,1.0,1,,True
130,CANT41-SELL4C,,49,328,26.711,0.024918572872599305,0.30698962974055627,1.0,0.0,4.399409050129896,1.0,1,,True
131,CANT41-SELL4D,,49,329,26.711,0.024918572872599305,0.30698962974055627,1.0,0.0,4.399409050129896,1.0,1,,True
132,CAPE4A-CONQ41,,51,72,11.543,0.014138438880706922,0.2748678852984493,1.0,0.0,4.5610671254627535,1.0,1,,True
133,CAPE4A-FROD41,,51,128,18.404,0.017300586828950228,0.2543794827211476,1.0,0.0,3.9663963483454574,1.0,1,,True
134,CAPE4B-CONQ41,,52,72,11.543,0.014138438880706922,0.2748678852984493,1.0,0.0,4.5610671254627535,1.0,1,,True
135,CAPE4B-FROD41,,52,128,18.315,0.017297297297297298,0.25439257439257434,1.0,0.0,3.9678397240180723,1.0,1,,True
136,CARE21-COWT2A,,53,78,27.881,0.04158140848606578,0.3929755030307378,1.0,0.0,1.3205575244723,1.0,1,,True
137,CARE21-USKM2B,,53,406,19.94,0.04156720160481444,0.3929921013039117,1.0,0.0,1.3205575244723,1.0,1,,True
138,CARR21-SMAN21,,54,342,10.977,0.0327246743190307,0.32793568370228654,1.0,0.0,1.7530453623757878,1.0,1,,True
139,CARR21-SMAN21,,54,342,9.427,0.0332117852975496,0.32898920653442243,1.0,0.0,1.7530453623757878,1.0,1,,True
140,CARR41-DAIN41,,55,85,3.352,0.028162291169451074,0.31169451073985677,1.0,0.0,4.399409050129896,1.0,1,,True
141,CARR41-DAIN41,,55,85,2.545,0.027033398821218073,0.3118271119842829,1.0,0.0,3.0079949017292336,1.0,1,,True
142,CARR41-KEAR41,,55,184,13.154,0.027368100957883532,0.3130910749581876,1.0,0.0,3.06717330430644,1.0,1,,True
143,CARR41-PEWO4A,,55,287,56.9,0.027782073813708258,0.31434797891036903,1.0,0.0,3.0079949017292336,1.0,1,,True
144,CARR42-DAIN41,,56,85,2.063,0.02714493456131847,0.31333010179350457,1.0,0.0,2.165063508922193,1.0,1,,True
145,CARR4B-DAIN41,,58,85,2.036,0.029076620825147347,0.3182711198428291,1.0,0.0,2.2415624195707773,1.0,1,,True
146,CELL41-DAIN41,,59,85,55.722,0.024320735077707187,0.2960410609813,1.0,0.0,3.619986186917907,1.0,1,,True
147,CELL41-DRAK41,,59,90,45.712,0.025551277563878188,0.3077003850192509,1.0,0.0,2.9863442666400117,1.0,1,,True
148,CELL41-DRAK41,,59,90,45.012,0.025557629076690663,0.3076868390651382,1.0,0.0,2.9863442666400117,1.0,1,,True
149,CELL41-MACC41,,59,220,31.617,0.025049814972957586,0.3070247019008761,1.0,0.0,4.399409050129896,1.0,1,,True
150,CHIC41-EXET41,,60,109,75.92,0.016564805057955743,0.28587987355110644,1.0,0.0,3.7065887272747946,1.0,1,,True
151,CHIC41-MANN41,,60,222,53.913,0.017361304323632525,0.2782853857140208,1.0,0.0,4.083309777827256,1.0,1,,True
152,CHIC4A-MANN41,,61,222,54.066,0.01737136092923464,0.2782968963858987,1.0,0.0,4.083309777827256,1.0,1,,True
153,CHIL41-FAWL41,,62,110,3.73,0.01587131367292225,0.10080428954423593,1.0,0.0,1.33945262418653,1.0,1,,True
154,CHIL41-FAWL41,,62,110,3.69,0.016043360433604336,0.10059620596205962,1.0,0.0,1.33945262418653,1.0,1,,True
155,CHIL41-LOVE41,,62,218,22.694000000000003,0.014171146558561732,0.27425751299903056,1.0,0.0,1.600703620929808,1.0,1,,True
156,CHSI21-WWEY21,,63,454,15.318,0.02562304151978065,0.3075258682595639,1.0,0.0,2.54663955037345,1.0,1,,True
157,CHSI21-WWEY22,,63,455,15.347,0.025623900436567405,0.30753608197041765,1.0,0.0,2.54663955037345,1.0,1,,True
158,CHTE21-HIGM21,,64,157,43.792,0.021033807544757033,0.31188059462915607,1.0,0.0,2.8111709463726706,1.0,1,,True
159,CHTE21-HIGM21,,64,157,43.651,0.02103245057387001,0.3118831756431697,1.0,0.0,2.899348078372411,1.0,1,,True
160,CHUE4A-TILB41,,65,383,13.525,0.024487985212569313,0.3039112754158965,1.0,0.0,4.080423026482026,1.0,1,,True
161,CHUE4A-WTHU4D,,65,451,2.419,0.025134353038445637,0.32277800744109136,1.0,0.0,4.399409050129896,1.0,1,,True
162,CHUE4B-TILB41,,66,383,13.525,0.024487985212569313,0.3039112754158965,1.0,0.0,4.220430466725661,1.0,1,,True
163,CHUE4B-WTHU4C,,66,450,2.581,0.02479659046881054,0.3217357613328167,1.0,0.0,4.399409050129896,1.0,1,,True
164,CILF2A-UPPB21,,67,402,6.975,0.03458691756272401,0.32006451612903225,1.0,0.0,1.8517197719945448,1.0,1,,True
165,CILF2B-UPPB22,,68,403,6.975,0.03458691756272401,0.32006451612903225,1.0,0.0,1.8517197719945448,1.0,1,,True
166,CILF41-IMPP41,,69,168,25.119,0.017389227278155978,0.2800111469405629,1.0,0.0,3.7065887272747946,1.0,1,,True
167,CILF41-RASS41,,69,296,26.901,0.017367384112114793,0.27829448719378463,1.0,0.0,3.7065887272747946,1.0,1,,True
168,CILF41-RHIG41,,69,302,25.011,0.01733637199632162,0.27827755787453523,1.0,0.0,3.7065887272747946,1.0,1,,True
169,CILF41-SWAN41,,69,365,61.595,0.0173520577968991,0.27828232811104797,1.0,0.0,3.7065887272747946,1.0,1,,True
170,CILF41-SWAN42,,69,366,61.655,0.017361122374503286,0.27829697510339796,1.0,0.0,4.330127017844386,1.0,1,,True
171,CILF41-WHSO4A,,69,430,35.208,0.01740513519654624,0.2795273801408771,1.0,0.0,3.7065887272747946,1.0,1,,True
